Review Title,Review Description,Review Rating,Sentiment,Review,scores,compound,SIA_sentiment_type
lantern bar fantastic two days,superb evening lantern bar greeted alvin lobby personally taken bar even open seemed nothing much trouble staff went effort bringing cake downstairs go tea even though normally served germa managed find table us next evening watch light show greeted like old friends firstly alvin germa anna escorted lantern enjoyed marvellous meal looked evening julius perfect location bay along exemplary service cannot praise beautiful hotel highly enough,5,2,lantern bar fantastic two dayssuperb evening lantern bar greeted alvin lobby personally taken bar even open seemed nothing much trouble staff went effort bringing cake downstairs go tea even though normally served germa managed find table us next evening watch light show greeted like old friends firstly alvin germa anna escorted lantern enjoyed marvellous meal looked evening julius perfect location bay along exemplary service cannot praise beautiful hotel highly enough,"{'neg': 0.068, 'neu': 0.664, 'pos': 0.267, 'compound': 0.9402}",0.9402,2
accommodating staff lantern bar,enjoyed pur stay lantern bar julius tallano one staff accommodating polite even guided us ordering one best unique drinks ever tasted surely recommend lantern bar place visit,5,2,accommodating staff lantern barenjoyed pur stay lantern bar julius tallano one staff accommodating polite even guided us ordering one best unique drinks ever tasted surely recommend lantern bar place visit,"{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.8625}",0.8625,2
mom cousin bday celebration,great time lantern great ambience awesome food splendid service daniel thank much complimentray birthday cake definitely revisit love view choice music played,5,2,mom cousin bday celebrationgreat time lantern great ambience awesome food splendid service daniel thank much complimentray birthday cake definitely revisit love view choice music played,"{'neg': 0.0, 'neu': 0.431, 'pos': 0.569, 'compound': 0.9744}",0.9744,2
birthday celebration,thanks birthday cake fun customer service daniel fun entertaining accommodated request night ambience good chilling thansk memorable experience,4,2,birthday celebrationthanks birthday cake fun customer service daniel fun entertaining accommodated request night ambience good chilling thansk memorable experience,"{'neg': 0.04, 'neu': 0.509, 'pos': 0.451, 'compound': 0.9062}",0.9062,2
perfect night lantern bar,visited bday celebration w family nice view w great cocktails daniel assisted us professional manner definitely visit highly recommend place everyone,5,2,perfect night lantern barvisited bday celebration w family nice view w great cocktails daniel assisted us professional manner definitely visit highly recommend place everyone,"{'neg': 0.0, 'neu': 0.514, 'pos': 0.486, 'compound': 0.9441}",0.9441,2
best service ever,lanter team made us feel like home ask super attentive tiniest detail ask julius made sure weee well taken care whole night definitely back,5,2,best service everlanter team made us feel like home ask super attentive tiniest detail ask julius made sure weee well taken care whole night definitely back,"{'neg': 0.0, 'neu': 0.476, 'pos': 0.524, 'compound': 0.9633}",0.9633,2
perfect lunch la brasserie,everything perfect call book table alan helping mum bday surprise jj dinesh team relaxing lunch la brasserie even medium ribeye tender desserts great best ondeh cake thank accommodating family needs beautiful bday surprise lovely,5,2,perfect lunch la brasserieeverything perfect call book table alan helping mum bday surprise jj dinesh team relaxing lunch la brasserie even medium ribeye tender desserts great best ondeh cake thank accommodating family needs beautiful bday surprise lovely,"{'neg': 0.0, 'neu': 0.4, 'pos': 0.6, 'compound': 0.9887}",0.9887,2
afternoon tea fullerton,came afternoon tea birthday celebration service excellent lotha served us attentive checked us couple times food decent felt many sweets rather repetitive flavour profiles ambience setting comfortable relaxing,5,2,afternoon tea fullertoncame afternoon tea birthday celebration service excellent lotha served us attentive checked us couple times food decent felt many sweets rather repetitive flavour profiles ambience setting comfortable relaxing,"{'neg': 0.05, 'neu': 0.619, 'pos': 0.332, 'compound': 0.9081}",0.9081,2
excellent service beautiful view room,hotel beautiful room clean bright incredible view exceptional service provided made stay extremely pleasant comfortable every staff member came contact polite professional however five staff members impressive service definitely return hotel every morning greeted warmly ms lotha dimaano la brasserie extremely attentive kind always smile face speaking us truly exceptional ms connie leow attentive dining needs never failed say enjoy meal whenever served us ms grace sng graciously gave us overview different,5,2,excellent service beautiful view roomhotel beautiful room clean bright incredible view exceptional service provided made stay extremely pleasant comfortable every staff member came contact polite professional however five staff members impressive service definitely return hotel every morning greeted warmly ms lotha dimaano la brasserie extremely attentive kind always smile face speaking us truly exceptional ms connie leow attentive dining needs never failed say enjoy meal whenever served us ms grace sng graciously gave us overview different,"{'neg': 0.023, 'neu': 0.511, 'pos': 0.466, 'compound': 0.9937}",0.9937,2
pleasant lovely experience landing point,thankful team lotha karen kate huixia benson anthony accommodating walk request without reservations would also like thank chef team putting together expressions afternoon tea set last minute well restaurant nice atmosphere service impeccable thank,5,2,pleasant lovely experience landing pointthankful team lotha karen kate huixia benson anthony accommodating walk request without reservations would also like thank chef team putting together expressions afternoon tea set last minute well restaurant nice atmosphere service impeccable thank,"{'neg': 0.0, 'neu': 0.614, 'pos': 0.386, 'compound': 0.9552}",0.9552,2
lovely experience landing point,would like take opportunity say special thanks landing point team especially lotha karen kate huixia walked without reservations still accommodated us best service wonderful time food exquisite delicious,5,2,lovely experience landing pointwould like take opportunity say special thanks landing point team especially lotha karen kate huixia walked without reservations still accommodated us best service wonderful time food exquisite delicious,"{'neg': 0.0, 'neu': 0.467, 'pos': 0.533, 'compound': 0.9783}",0.9783,2
fantastic staycation birthday celebration,enjoyable night staycation absolutely wonderful staff facilities everything calm right pandemic rest staff especially lotha anna kate helpful arranging meals helping sort last minute changes plans gorgeous views every direction well located hotel definitely back,5,2,fantastic staycation birthday celebrationenjoyable night staycation absolutely wonderful staff facilities everything calm right pandemic rest staff especially lotha anna kate helpful arranging meals helping sort last minute changes plans gorgeous views every direction well located hotel definitely back,"{'neg': 0.0, 'neu': 0.559, 'pos': 0.441, 'compound': 0.9709}",0.9709,2
wonderful experience high tea,visited high tea session amazing anthony xia hui helped session made wonderful life experience view amazing highly recommended couples complimentary drinks well celebrating special occasions life,5,2,wonderful experience high teavisited high tea session amazing anthony xia hui helped session made wonderful life experience view amazing highly recommended couples complimentary drinks well celebrating special occasions life,"{'neg': 0.0, 'neu': 0.41, 'pos': 0.59, 'compound': 0.9813}",0.9813,2
lantern fullerton bay hotel singapore,love view ambiance good music best foods drink important staffs approachable good service definitely come back hotel really highly recommended friends family,5,2,lantern fullerton bay hotel singaporelove view ambiance good music best foods drink important staffs approachable good service definitely come back hotel really highly recommended friends family,"{'neg': 0.0, 'neu': 0.481, 'pos': 0.519, 'compound': 0.9613}",0.9613,2
excellent service,nice friendly service delicious food thank excellent services definitely come back recommended thank staff service us keep good job,5,2,excellent servicenice friendly service delicious food thank excellent services definitely come back recommended thank staff service us keep good job,"{'neg': 0.0, 'neu': 0.292, 'pos': 0.708, 'compound': 0.9769}",0.9769,2
nice service great view,got recommended someone works sg asked like check bar nice view marina bay sands lantern bar people nice warm caring def nice night view would lovely come beloved ones loud also enjoyable family,5,2,nice service great viewgot recommended someone works sg asked like check bar nice view marina bay sands lantern bar people nice warm caring def nice night view would lovely come beloved ones loud also enjoyable family,"{'neg': 0.0, 'neu': 0.409, 'pos': 0.591, 'compound': 0.9858}",0.9858,2
great service partner birthday high tea experience,served anthony service great birthday cake made complimentary drink well fantastic also needed charge phones cause portable died tended really life saver also complimentary parking since drove,5,2,great service partner birthday high tea experienceserved anthony service great birthday cake made complimentary drink well fantastic also needed charge phones cause portable died tended really life saver also complimentary parking since drove,"{'neg': 0.073, 'neu': 0.527, 'pos': 0.4, 'compound': 0.9442}",0.9442,2
high tea,service rendered lotha asel hui xia excellent attentive accommodating guests needs welcoming great work well explaining menu us thanks,5,2,high teaservice rendered lotha asel hui xia excellent attentive accommodating guests needs welcoming great work well explaining menu us thanks,"{'neg': 0.0, 'neu': 0.489, 'pos': 0.511, 'compound': 0.9403}",0.9403,2
afternoon tea landing point,afternoon tea family celebrate birthday savory dishes favorite especially duck rillettes smoked salmon variety teas coffees also impressive delicious fairus lotha helpful accommodating,5,2,afternoon tea landing pointafternoon tea family celebrate birthday savory dishes favorite especially duck rillettes smoked salmon variety teas coffees also impressive delicious fairus lotha helpful accommodating,"{'neg': 0.0, 'neu': 0.529, 'pos': 0.471, 'compound': 0.9501}",0.9501,2
disappointing standard,always used look forward enjoy stays fullerton bay hotel despite perfect location singapore fullerton team providing star service teamwork looks poor across various teams kitchen front office service teams working together service slow disjointed teams trying looks like gap senior management oversight years massive fan fullerton bay staying recommending friends family simply put gap price pay service get far apart,1,0,disappointing standardalways used look forward enjoy stays fullerton bay hotel despite perfect location singapore fullerton team providing star service teamwork looks poor across various teams kitchen front office service teams working together service slow disjointed teams trying looks like gap senior management oversight years massive fan fullerton bay staying recommending friends family simply put gap price pay service get far apart,"{'neg': 0.171, 'neu': 0.683, 'pos': 0.146, 'compound': -0.2259}",-0.2259,0
great service food,great service warm hospitality ms lotha thank ms lotha making dining experience warm pleasant enjoy definitely return recommend friends family place go chill relaxing afternoon,5,2,great service foodgreat service warm hospitality ms lotha thank ms lotha making dining experience warm pleasant enjoy definitely return recommend friends family place go chill relaxing afternoon,"{'neg': 0.0, 'neu': 0.374, 'pos': 0.626, 'compound': 0.9786}",0.9786,2
afternoon tea landing point,great afternoon tea experience landing point fullerton bay hotel singapore special thanks karen anthony lotha good service chinese lady served us coffee warm nice thank,5,2,afternoon tea landing pointgreat afternoon tea experience landing point fullerton bay hotel singapore special thanks karen anthony lotha good service chinese lady served us coffee warm nice thank,"{'neg': 0.0, 'neu': 0.584, 'pos': 0.416, 'compound': 0.9287}",0.9287,2
excellent afternoon high tea experience,went landing point within fullerton bay hotel afternoon high tea set food service excellent great view marina bay sands waterfront special call anthony lotha service staff remembered little details even celebrated friend birthday definitely come back,5,2,excellent afternoon high tea experiencewent landing point within fullerton bay hotel afternoon high tea set food service excellent great view marina bay sands waterfront special call anthony lotha service staff remembered little details even celebrated friend birthday definitely come back,"{'neg': 0.0, 'neu': 0.584, 'pos': 0.416, 'compound': 0.9737}",0.9737,2
disappointing afternoon tea,afternoon tea landing point low quality experience even without considering exorbitant cost afternoon tea experience nice quite expectations service poor food nice appearance interesting taste disappointing,2,0,disappointing afternoon teaafternoon tea landing point low quality experience even without considering exorbitant cost afternoon tea experience nice quite expectations service poor food nice appearance interesting taste disappointing,"{'neg': 0.288, 'neu': 0.51, 'pos': 0.202, 'compound': -0.552}",-0.552,0
place would say yes,arrive late night expect still keep room need night manager sweet person smart eyes felt overwhelm nice staff best thing lady front beauty also,5,2,place would say yesarrive late night expect still keep room need night manager sweet person smart eyes felt overwhelm nice staff best thing lady front beauty also,"{'neg': 0.043, 'neu': 0.536, 'pos': 0.421, 'compound': 0.9413}",0.9413,2
lovely way enjoy marina bay,vegetarian afternoon tea lotha made experience extra special attentive service start finish grateful team assigning us table wonderful view marina bay set generally good though could variety savoury vegetarian items still kudos offering allium free options,5,2,lovely way enjoy marina bayvegetarian afternoon tea lotha made experience extra special attentive service start finish grateful team assigning us table wonderful view marina bay set generally good though could variety savoury vegetarian items still kudos offering allium free options,"{'neg': 0.0, 'neu': 0.553, 'pos': 0.447, 'compound': 0.9774}",0.9774,2
high tea friends,celebrated st birthday landing point fullerton fun place enjoyed taking pictures staff accomodating making sure everything need special thanks lotha fairus,5,2,high tea friendscelebrated st birthday landing point fullerton fun place enjoyed taking pictures staff accomodating making sure everything need special thanks lotha fairus,"{'neg': 0.0, 'neu': 0.554, 'pos': 0.446, 'compound': 0.926}",0.926,2
great staycation,proud staff friendly accommodating especially big thank indra room lovely loved extremely comfortable bed atmosphere attention details hotel products snacks drinks restaurant bar staff helpful food good second stay hotel wont last wonderful time felt comfortable welcomed hotel thank,5,2,great staycationproud staff friendly accommodating especially big thank indra room lovely loved extremely comfortable bed atmosphere attention details hotel products snacks drinks restaurant bar staff helpful food good second stay hotel wont last wonderful time felt comfortable welcomed hotel thank,"{'neg': 0.045, 'neu': 0.419, 'pos': 0.536, 'compound': 0.9859}",0.9859,2
afternoon tea landing point,afternoon tea landing point full house thanks lotha accommodating sweet love sakura royal orchid tea really compliments desserts nice view marina bay sands definitely go back,5,2,afternoon tea landing pointafternoon tea landing point full house thanks lotha accommodating sweet love sakura royal orchid tea really compliments desserts nice view marina bay sands definitely go back,"{'neg': 0.0, 'neu': 0.549, 'pos': 0.451, 'compound': 0.9575}",0.9575,2
birthday tea landing point,ambience gorgeous tea spread absolutely divine item exquisitely beautiful delicious service impeccable loved gracious attention lotha asel fedback end tea beautiful birthday celebration next thing knew sent beautiful complimentary slice chocolate cake candle thoughtful loved whole experience would certainly go,5,2,birthday tea landing pointambience gorgeous tea spread absolutely divine item exquisitely beautiful delicious service impeccable loved gracious attention lotha asel fedback end tea beautiful birthday celebration next thing knew sent beautiful complimentary slice chocolate cake candle thoughtful loved whole experience would certainly go,"{'neg': 0.0, 'neu': 0.421, 'pos': 0.579, 'compound': 0.9921}",0.9921,2
great ambience services,home warming fell great services staff went hi tea change new menu display best menu matching great choice tea coffee service team great always timely patience great introduction recommends hitea item drinks matching,5,2,great ambience serviceshome warming fell great services staff went hi tea change new menu display best menu matching great choice tea coffee service team great always timely patience great introduction recommends hitea item drinks matching,"{'neg': 0.0, 'neu': 0.489, 'pos': 0.511, 'compound': 0.9821}",0.9821,2
excellent,visited landing point friend jul lotha karen helpful attentive food yummy well definitely return thanks excellent service food,5,2,excellentvisited landing point friend jul lotha karen helpful attentive food yummy well definitely return thanks excellent service food,"{'neg': 0.0, 'neu': 0.346, 'pos': 0.654, 'compound': 0.9628}",0.9628,2
great gem property right bay,property staff service rooms facilities top notch rooms spacious luxurious large bathrooms include tubs showers bed ultra luxe comfortable rooms even private balcony breakfast buffet morning hot entrees amazing service breakfast restaurant also amazing jj deserves extra kudos gym pool area rooftop clean modern well maintained lobby bar great feature meetings casual dining simply loved entire stay,5,2,great gem property right bayproperty staff service rooms facilities top notch rooms spacious luxurious large bathrooms include tubs showers bed ultra luxe comfortable rooms even private balcony breakfast buffet morning hot entrees amazing service breakfast restaurant also amazing jj deserves extra kudos gym pool area rooftop clean modern well maintained lobby bar great feature meetings casual dining simply loved entire stay,"{'neg': 0.0, 'neu': 0.559, 'pos': 0.441, 'compound': 0.988}",0.988,2
stay without doubt,hotel new go hotel singapore worth every check process smooth staff friendly approachable room amazing great view unexpectedly large everything wanted location perfect short walk places wanted visit breakfast perfect meals freshly made required staff amazing nothing much trouble room comfortable bathroom huge absolutely problems stay definitely staying,5,2,stay without doubthotel new go hotel singapore worth every check process smooth staff friendly approachable room amazing great view unexpectedly large everything wanted location perfect short walk places wanted visit breakfast perfect meals freshly made required staff amazing nothing much trouble room comfortable bathroom huge absolutely problems stay definitely staying,"{'neg': 0.039, 'neu': 0.5, 'pos': 0.461, 'compound': 0.9849}",0.9849,2
best hotel singapore,favorite hotel singapore go often chance try several top hotels far best one location slightly always need car staying probably car waiting anyway love rooms rooftop pool food cafe breakfast delicious highly recommend fullerton bay please confuse fullerton hotel post office hotel fullerton bay much nicer,5,2,best hotel singaporefavorite hotel singapore go often chance try several top hotels far best one location slightly always need car staying probably car waiting anyway love rooms rooftop pool food cafe breakfast delicious highly recommend fullerton bay please confuse fullerton hotel post office hotel fullerton bay much nicer,"{'neg': 0.028, 'neu': 0.559, 'pos': 0.413, 'compound': 0.9781}",0.9781,2
expressions afternoon tea,experienced newly launched expressions afternoon tea today distinctive new menu pastries savoury items facing marina bay enjoyable afternoon time away good food drinks recommended,5,2,expressions afternoon teaexperienced newly launched expressions afternoon tea today distinctive new menu pastries savoury items facing marina bay enjoyable afternoon time away good food drinks recommended,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.7964}",0.7964,2
incredible hotel,stay four nights beautiful place ubication best recommended room bay views see marina bay night espectacular breakfast big quality staff also kind efficient help city etc perhaps cleaning service good wifi good rooms big good toilet think good option stay singapore,5,2,incredible hotelstay four nights beautiful place ubication best recommended room bay views see marina bay night espectacular breakfast big quality staff also kind efficient help city etc perhaps cleaning service good wifi good rooms big good toilet think good option stay singapore,"{'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.9825}",0.9825,2
perfect,hotel far best part week long trip singapore great location within walking distance lots restaurants great view harbor roof top infinity pool terrific appreciated unlimited spring water breakfast amazing made order great choices delicious western asian food deluxe room comfortable complimentary tour historic sister property fullerton originally post office interesting architecture well history however best part hotel staff everyone friendly helpful especially grateful hotel arranged someone come room perform covid tests,5,2,perfecthotel far best part week long trip singapore great location within walking distance lots restaurants great view harbor roof top infinity pool terrific appreciated unlimited spring water breakfast amazing made order great choices delicious western asian food deluxe room comfortable complimentary tour historic sister property fullerton originally post office interesting architecture well history however best part hotel staff everyone friendly helpful especially grateful hotel arranged someone come room perform covid tests,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.9953}",0.9953,2
amazing singapore experience,fullerton bay hotel occupies premium position marina bay room point blank views iconic buildings waterfront room rooms large clean hotel staff whether front room cleaning dining friendly efficient professional thing think improve add usb connections charging,5,2,amazing singapore experiencefullerton bay hotel occupies premium position marina bay room point blank views iconic buildings waterfront room rooms large clean hotel staff whether front room cleaning dining friendly efficient professional thing think improve add usb connections charging,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.9371}",0.9371,2
leisure stay,good service friendly staff attentive good room view clean good environment nice relaxing holiday conducive work good location near lot food places iconic sights,5,2,leisure staygood service friendly staff attentive good room view clean good environment nice relaxing holiday conducive work good location near lot food places iconic sights,"{'neg': 0.0, 'neu': 0.422, 'pos': 0.578, 'compound': 0.9694}",0.9694,2
fabulous views,stayed beautiful robinson suite views fantastic olivia hee great butler went way make us wonderful stay definitely elevated experience fullerton bay,5,2,fabulous viewsstayed beautiful robinson suite views fantastic olivia hee great butler went way make us wonderful stay definitely elevated experience fullerton bay,"{'neg': 0.0, 'neu': 0.428, 'pos': 0.572, 'compound': 0.9698}",0.9698,2
extremely comfortable room unmatched views,several excellent hotels marina bay area one literally waterfront also low rise really feel bay theme suite top th floor spacious well appointed room big corner room also degree view whole bay financial district buildings etc service good responsive,5,2,extremely comfortable room unmatched viewsseveral excellent hotels marina bay area one literally waterfront also low rise really feel bay theme suite top th floor spacious well appointed room big corner room also degree view whole bay financial district buildings etc service good responsive,"{'neg': 0.066, 'neu': 0.633, 'pos': 0.3, 'compound': 0.9174}",0.9174,2
fullerton bay hotel singapore,first class modern hotel sweeping views bay great service rooms serviced several times day great rooftop pool bar breakfast ok good rest hotel get exclusive breakfast rate cheapest get pay hesitate recommend,5,2,fullerton bay hotel singaporefirst class modern hotel sweeping views bay great service rooms serviced several times day great rooftop pool bar breakfast ok good rest hotel get exclusive breakfast rate cheapest get pay hesitate recommend,"{'neg': 0.073, 'neu': 0.565, 'pos': 0.362, 'compound': 0.93}",0.93,2
exceptional,book walk door understand cant fault place staff location cleanliness room sizes spacious everything ask pool magnificent great view,5,2,exceptionalbook walk door understand cant fault place staff location cleanliness room sizes spacious everything ask pool magnificent great view,"{'neg': 0.0, 'neu': 0.609, 'pos': 0.391, 'compound': 0.8822}",0.8822,2
excellent hotel fantastic views amenties,excellent hotel fantastic views facilities staff pleasant helpful went way help us every request best staycation ever amazing experience,5,2,excellent hotel fantastic views amentiesexcellent hotel fantastic views facilities staff pleasant helpful went way help us every request best staycation ever amazing experience,"{'neg': 0.0, 'neu': 0.351, 'pos': 0.649, 'compound': 0.9812}",0.9812,2
best trip singapore may,stars location service food accommodations unforgettable family trip although flights long luggage missed connecting flight arrived days later worth enjoyed michelin star restaurants plus nightly light shows marina changi airport clean efficient vat refunds efficient priority ques business class travelers need facial recognition check fast security check prior boarding flight one must allow sufficient time board singapore everyone bucket list must visit list caters ages tastes,5,2,best trip singapore maystars location service food accommodations unforgettable family trip although flights long luggage missed connecting flight arrived days later worth enjoyed michelin star restaurants plus nightly light shows marina changi airport clean efficient vat refunds efficient priority ques business class travelers need facial recognition check fast security check prior boarding flight one must allow sufficient time board singapore everyone bucket list must visit list caters ages tastes,"{'neg': 0.026, 'neu': 0.713, 'pos': 0.261, 'compound': 0.9571}",0.9571,2
bay view room,beautiful comfy room bay view thanks ndp rehearsal witness aircraft rehearsal outside balcony thanks light event beautiful night lights mbs beautiful night view,4,2,bay view roombeautiful comfy room bay view thanks ndp rehearsal witness aircraft rehearsal outside balcony thanks light event beautiful night lights mbs beautiful night view,"{'neg': 0.0, 'neu': 0.607, 'pos': 0.393, 'compound': 0.9274}",0.9274,2
excellent,good hotel staff friendly food good room clean give new toiletries everyday rooftop pool beautiful maybe provide variety breakfast future,5,2,excellentgood hotel staff friendly food good room clean give new toiletries everyday rooftop pool beautiful maybe provide variety breakfast future,"{'neg': 0.0, 'neu': 0.557, 'pos': 0.443, 'compound': 0.9136}",0.9136,2
clean comfortable good location business quick shoppings,reserved hotel business trip recommended colleagues clean modern hotel good view marina bay sands also walking distance cool marina bay sands shopping center close lau pa sat casually join local food would recommend anyone wishing enjoy time aside business financial district across,5,2,clean comfortable good location business quick shoppingsreserved hotel business trip recommended colleagues clean modern hotel good view marina bay sands also walking distance cool marina bay sands shopping center close lau pa sat casually join local food would recommend anyone wishing enjoy time aside business financial district across,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.9779}",0.9779,2
wedding venue stay overnight,wonderful experience got hitched fullerton pods stayed overnight corner room beautiful top bottom extremely helpful staff every step way special day,5,2,wedding venue stay overnightwonderful experience got hitched fullerton pods stayed overnight corner room beautiful top bottom extremely helpful staff every step way special day,"{'neg': 0.0, 'neu': 0.635, 'pos': 0.365, 'compound': 0.8883}",0.8883,2
service excels,point difference hotel level effort staff go guests required bad luck arrival staff management made sure rest stay went swimmingly rooms good service excellent food tasty thank,5,2,service excelspoint difference hotel level effort staff go guests required bad luck arrival staff management made sure rest stay went swimmingly rooms good service excellent food tasty thank,"{'neg': 0.088, 'neu': 0.551, 'pos': 0.361, 'compound': 0.872}",0.872,2
